模型,RMSE,MAE,MAPE,R²,Adj.R²,样本数,分层
XGBoost,24.36,18.01,1.97,0.9936,0.9934,1194,0-3天(临期)
LightGBM,25.9,19.9,2.23,0.9928,0.9925,1194,0-3天(临期)
随机森林,27.09,20.11,3.35,0.9737,0.9728,1215,4-7天(中期)
GradientBoosting,30.51,23.62,3.51,0.9667,0.9655,1215,4-7天(中期)
随机森林,40.05,30.02,3.52,0.9828,0.9822,1194,0-3天(临期)
XGBoost,33.62,24.93,3.73,0.9595,0.9581,1215,4-7天(中期)
LightGBM,35.45,28.02,4.17,0.955,0.9534,1215,4-7天(中期)
GradientBoosting,45.62,38.08,4.53,0.9777,0.9769,1194,0-3天(临期)
XGBoost,98.92,57.94,7.22,0.7175,0.717,22432,15天+(超远期)
Ridge,78.68,66.53,7.45,0.9336,0.9312,1194,0-3天(临期)
ElasticNet,88.48,65.85,7.52,0.916,0.913,1194,0-3天(临期)
Lasso,78.59,67.95,7.69,0.9338,0.9314,1194,0-3天(临期)
LightGBM,104.36,66.47,8.31,0.6855,0.6849,22432,15天+(超远期)
ElasticNet,65.52,52.78,8.48,0.8462,0.8408,1215,4-7天(中期)
Lasso,65.01,57.33,9.13,0.8486,0.8433,1215,4-7天(中期)
Ridge,71.69,62.8,9.67,0.8159,0.8094,1215,4-7天(中期)
随机森林,232.22,58.18,10.04,-1.4114,-1.4591,2115,8-14天(远期)
GradientBoosting,208.68,62.14,10.35,-0.9472,-0.9858,2115,8-14天(远期)
GradientBoosting,114.5,84.95,10.85,0.6215,0.6208,22432,15天+(超远期)
Lasso,152.72,69.09,11.37,-0.0429,-0.0635,2115,8-14天(远期)
ElasticNet,184.07,69.37,11.65,-0.5151,-0.5451,2115,8-14天(远期)
LightGBM,243.97,74.82,12.42,-1.6616,-1.7142,2115,8-14天(远期)
随机森林,126.36,94.44,12.51,0.5389,0.5381,22432,15天+(超远期)
Ridge,178.07,76.33,12.62,-0.4179,-0.4459,2115,8-14天(远期)
XGBoost,298.06,90.2,15.07,-2.9727,-3.0513,2115,8-14天(远期)
ElasticNet,172.05,127.89,18.07,0.1453,0.1437,22432,15天+(超远期)
Lasso,181.02,133.92,18.09,0.0538,0.052,22432,15天+(超远期)
Ridge,183.7,137.06,18.45,0.0256,0.0238,22432,15天+(超远期)
LSTM,524.58,454.39,52.42,-3.005,-3.883,229,4-7天(中期)
LSTM,535.05,470.69,53.89,-3.4229,-3.5845,1164,8-14天(远期)
LSTM,562.82,491.03,54.67,-3.1872,-3.1987,14947,15天+(超远期)
LSTM,,,,,,0,0-3天(临期)
